id,name,normalized_name,gender
1,Marge Simpson,marge simpson,f
8,Bart Simpson,bart simpson,m
9,Lisa Simpson,lisa simpson,f
17,Moe Szyslak,moe szyslak,m
3,Seymour Skinner,seymour skinner,m
11,Ned Flanders,ned flanders,m
31,Grampa Simpson,grampa simpson,m
71,Chief Wiggum,chief wiggum,m
25,Milhouse Van Houten,milhouse van houten,m
14,Waylon Smithers,waylon smithers,m
101,Nelson Muntz,nelson muntz,m
40,Edna Krabappel-Flanders,edna krabappel-flanders,f
33,Announcer,announcer,m
22,Selma Bouvier,selma bouvier,f
18,Barney Gumble,barney gumble,m
10,Patty Bouvier,patty bouvier,f
38,Martin Prince,martin prince,m
52,Otto Mann,otto mann,m
91,Lou,lou,m
5,Todd Flanders,todd flanders,m
96,Dr. Marvin Monroe,dr marvin monroe,m
43,Dr. J. Loren Pyror,dr j loren pyror,m
6,Dewey Largo,dewey largo,m
90,Eddie,eddie,m
21,Teacher,teacher,m
28,Clerk,clerk,m
32,Father,father,m
54,Sherri Mackleberry,sherri mackleberry,f
4,JANEY,janey,f
44,Ms. Melon,ms melon,f
19,Interviewer,interviewer,m
45,Ethan Foley,ethan foley,m
55,Terri Mackleberry,terri mackleberry,f
23,Voice,voice,m
98,Receptionist,receptionist,f
211,Kent Brockman,kent brockman,m
208,Apu Nahasapeemapetilon,apu nahasapeemapetilon,m
165,Lenny Leonard,lenny leonard,m
170,Carl Carlson,carl carlson,m
153,Sideshow Bob,sideshow bob,m
119,Ralph Wiggum,ralph wiggum,m
144,Jimbo Jones,jimbo jones,m
192,Agnes Skinner,agnes skinner,f
145,Kearney Zzyzwicz,kearney zzyzwicz,m
146,DOLPH,dolph,m
214,Judge Snyder,judge snyder,m
163,Jacques,jacques,m
124,Salesman,salesman,m
118,Woman,woman,f
121,Rod Flanders,rod flanders,m
183,Manager,manager,m
111,Bleeding Gums Murphy,bleeding gums murphy,m
123,Cowboy Bob,cowboy bob,m
112,Jacqueline Bouvier,jacqueline bouvier,f
171,Waiter,waiter,m
187,Gulliver Dark,gulliver dark,m
197,Cesar,cesar,m
120,Stan,stan,m
115,Cashier,cashier,m
191,Krusty Doll,krusty doll,m
213,Lawyer,lawyer,m
194,Mother,mother,f
240,Mayor Joe Quimby,mayor joe quimby,m
308,Maude Flanders,maude flanders,f
309,Helen Lovejoy,helen lovejoy,f
273,Jasper Beardly,jasper beardly,m
311,Man,man,m
238,Marty,marty,m
272,TV Announcer,tv announcer,m
239,Bill,bill,m
218,Director,director,m
