season,number_in_series,number_in_season,title,us_viewers_in_millions,imdb_rating,original_air_date
1,1,1,Death Has a Shadow,,8,1/31/99
1,2,2,I Never Met the Dead Man,,7.7,4/11/99
1,3,3,Chitty Chitty Death Bang,,7.8,4/18/99
1,4,4,Mind Over Murder,,7.5,4/25/99
1,5,5,A Hero Sits Next Door,,7.5,5/2/99
1,6,6,The Son Also Draws,,7.3,5/9/99
1,7,7,Brian: Portrait of a Dog,,7.6,5/16/99
2,8,1,"Peter, Peter, Caviar Eater",,7.7,9/23/99
2,9,2,Holy Crap,,7.4,9/30/99
2,10,3,Da Boom,,8.3,12/26/99
2,11,4,Brian in Love,,7.5,3/7/00
2,12,5,Love Thy Trophy,,7.8,3/14/00
2,13,6,Death Is a Bitch,,8.3,3/21/00
2,14,7,The King Is Dead,,7.4,3/28/00
2,15,8,"I Am Peter, Hear Me Roar",,8.2,3/28/00
2,16,9,"If I'm Dyin', I'm Lyin'",,7.4,4/4/00
2,17,10,Running Mates,,7.5,4/11/00
2,18,11,"A Picture Is Worth a 1,000 Bucks",,7.2,4/18/00
2,19,12,Fifteen Minutes of Shame,,7.6,4/25/00
2,20,13,Road to Rhode Island,,8.2,5/30/00
2,21,14,Let's Go to the Hop,,8,6/6/00
2,22,15,Dammit Janet,,7.5,6/13/00
2,23,16,There's Something About Paulie,,6.4,6/27/00
2,24,17,He's Too Sexy for His Fat,,7.8,6/27/00
2,25,18,E. Peterbus Unum,,8.3,7/12/00
2,26,19,The Story on Page One,,7.6,7/18/00
2,27,20,Wasted Talent,,8.2,7/25/00
2,28,21,"Fore, Father",,7.3,8/1/00
3,29,1,The Thin White Line,,8.1,7/11/01
3,30,2,Brian Does Hollywood,,7.7,7/18/01
3,31,3,Mr. Griffin Goes to Washington,,7.7,7/25/01
3,32,4,"One If by Clam, Two If by Sea",,7.7,8/1/01
3,33,5,And the Wiener Is...,,7.7,8/8/01
3,34,6,Death Lives,,8,8/15/01
3,35,7,Lethal Weapons,,6.8,8/22/01
3,36,8,The Kiss Seen Around the World,,6.2,8/29/01
3,37,9,Mr. Saturday Knight,,7.5,9/5/01
3,38,10,A Fish Out of Water,,6.6,9/19/01
3,39,11,Emission Impossible,,8.1,11/8/01
3,40,12,To Love and Die in Dixie,,8.2,11/15/01
3,41,13,Screwed the Pooch,,7.4,11/29/01
3,42,14,"Peter Griffin: Husband, Father... Brother?",,7.7,12/6/01
3,43,15,"Ready, Willing, and Disabled",,7.6,12/20/01
3,44,16,A Very Special Family Guy Freakin' Christmas,,7.7,12/21/01
3,45,17,Brian Wallows and Peter's Swallows,,7.4,1/17/02
3,46,18,From Method to Madness,,7.6,1/24/02
3,47,19,"Stuck Together, Torn Apart",,7.7,1/31/02
3,48,20,Road to Europe,,7.9,2/7/02
3,49,21,Family Guy Viewer Mail #1,,7.5,2/14/02
3,50,22,When You Wish Upon a Weinstein,,7.5,11/9/02
4,51,1,North by North Quahog,11.85,7.8,5/1/05
4,52,2,Fast Times at Buddy Cianci Jr. High,9.71,7.6,5/8/05
4,53,3,Blind Ambition,9.2,7.6,5/15/05
4,54,4,Don't Make Me Over,7.23,7.5,6/5/05
4,55,5,The Cleveland_Loretta Quagmire,8.35,7.6,6/12/05
4,56,6,Petarded,7.23,8.3,6/19/05
4,57,7,Brian the Bachelor,7.29,7.4,6/26/05
4,58,8,8 Simple Rules for Buying My Teenage Daughter,6.1,7.6,7/10/05
